title,price,description,item_id,item_image
Zerogrand Chukka,278,"What happens when you take the gentility of a Chukka and combine it with the ingenuity of our ZeroGrand technology? The ZeroGrand Chukka. This handsome American classic features an EVA midsole with a deep grooved outsole to aid flexing and a genuine natural storm welt, increasing durability and weather resistance. Crafted in sleek Incas calf leather sourced from Italy, this timeless style featuring modern innovation will breathe new life into your wardrobe.",zerogrand-chukka-chestnut/C14034.html?dwvar_C14034_color=Chestnut,sits_pod22/dw/image/v2/AALO_PRD/on/demandware.static/Sites-ColeHaan_US-Site/Sites-itemmaster_colehaan/en_US/v1423263545472/images/large/C14034_A.png?sw=560
Zerogrand Wing Oxford,268,"Our legacy of craftsmanship and reputation for innovation come together in a striking new brogue that reconsiders mass, make and motion. Constructed in leather of the highest quality and laser treated to add pinking and decorative stitch details, this Wing Oxford is one of the lightest casual shoes to hit the market. Cushioned with our proprietary Grand.OS technology for ultimate comfort, while a natural storm welt with break and flex grooves provides increased flexibility.",zerogrand-wing-oxford-pewter/C14025.html,sits_pod22/dw/image/v2/AALO_PRD/on/demandware.static/Sites-ColeHaan_US-Site/Sites-itemmaster_colehaan/en_US/v1423263545472/images/large/C14025_A.png?sw=560
ZeroGrand Short Boot,298,"Our legacy of craftsmanship and reputation for innovation have once again joined forces in the form of a striking new boot that considers mass, make and motion. Crafted in sharp, two tone leather with perforated detailing, the ZeroGrand Short Boot features an EVA midsole with a deep grooved outsole to aid flexing and a genuine natural storm welt, increasing durability and weather resistance. Reboot your cold weather wardrobe in lightweight urbanity.",zerogrand-short-boot-folkstone-blazer-blue/C13681.html?,sits_pod22/dw/image/v2/AALO_PRD/on/demandware.static/Sites-ColeHaan_US-Site/Sites-itemmaster_colehaan/en_US/v1423263545472/images/large/C13681_A.png?sw=560
